id,segment_id,city,state,latitude,longitude,road_type,pothole_count,crack_type,crack_count,weather,traffic_level,speed_limit_kmph,avg_vehicle_speed_kmph,rainfall_mm,visibility,surface_age_months,accident_history_count,accident_risk,immediate_action,maintenance_priority,authority_responsible,response_time_hours,repair_status,date_reported
1,SEG-8397,Hyderabad,Telangana,11.39097,94.55915,City Road,3,Longitudinal Crack,6,Humid,Moderate,32,47,7.93,Poor,24,6,Medium,Fill Pothole,Medium,Highways Dept,52,Not Repaired,2025-04-07
2,SEG-4185,Madurai,Tamil Nadu,14.93321,80.26259,Highway,3,Longitudinal Crack,36,Dry,Heavy,87,34,121.32,Foggy,60,12,Critical,Immediate Barricade,Urgent,Panchayat,62,Not Repaired,2025-04-08
3,SEG-5949,Madurai,Tamil Nadu,26.95996,93.32102,Village Road,7,Edge Crack,11,Dry,Low,98,32,140.49,Poor,8,6,Medium,Fill Pothole,Medium,Panchayat,26,Temporary Repair,2025-10-02
4,SEG-5006,Jaipur,Rajasthan,26.60989,89.1694,Highway,10,Edge Crack,25,Rainy,Heavy,72,68,49.28,Foggy,20,3,High,Resurface Road,High,Panchayat,5,Repaired,2025-05-06
5,SEG-5333,Mumbai,Maharashtra,11.71653,96.57874,Highway,2,Longitudinal Crack,30,Humid,Moderate,47,70,27.17,Poor,26,13,High,Resurface Road,High,Panchayat,23,Repaired,2025-12-09
6,SEG-3931,Pune,Maharashtra,24.64215,77.22566,Highway,14,Alligator Crack,4,Rainy,Low,34,21,146.97,Foggy,21,7,Medium,Fill Pothole,Medium,Municipality,60,Repaired,2025-01-06
7,SEG-2158,Noida,Uttar Pradesh,11.92277,73.16123,City Road,16,Longitudinal Crack,25,Humid,Heavy,85,38,179.98,Clear,35,2,High,Resurface Road,High,Municipality,31,Temporary Repair,2025-02-06
8,SEG-8119,Bengaluru,Karnataka,21.32123,77.5808,City Road,15,Alligator Crack,6,Dry,Moderate,66,26,104.81,Clear,1,4,Medium,Fill Pothole,Medium,Highways Dept,36,Repaired,2025-11-28
9,SEG-3892,Thiruvananthapuram,Kerala,21.75697,70.83627,City Road,1,Transverse Crack,18,Hot,Low,49,85,173.16,Clear,17,11,High,Resurface Road,High,Municipality,37,Temporary Repair,2025-09-07
10,SEG-4075,Delhi,Delhi,23.24781,80.47416,Highway,12,Alligator Crack,24,Hot,Heavy,93,55,129.11,Foggy,46,11,High,Resurface Road,High,Municipality,44,Repaired,2025-03-22
11,SEG-4925,Mysuru,Karnataka,27.93601,68.69605,City Road,2,Edge Crack,6,Hot,Low,30,35,37.44,Clear,24,10,Medium,Fill Pothole,Medium,Panchayat,48,Repaired,2025-07-13
12,SEG-7698,Nagpur,Maharashtra,14.22257,79.8117,Highway,10,Transverse Crack,28,Dry,Heavy,57,65,132.4,Foggy,33,8,High,Resurface Road,High,Highways Dept,47,Temporary Repair,2025-05-17
13,SEG-1345,Mumbai,Maharashtra,11.1258,87.907,Village Road,14,Edge Crack,29,Hot,Low,63,21,85.42,Poor,23,15,Critical,Immediate Barricade,Urgent,Municipality,21,Not Repaired,2025-03-23
14,SEG-3769,Mysuru,Karnataka,20.72054,85.6841,City Road,10,Transverse Crack,30,Rainy,Moderate,93,48,92.87,Poor,59,13,Critical,Immediate Barricade,Urgent,Panchayat,69,Repaired,2025-02-19
15,SEG-2832,Kochi,Kerala,25.58061,94.99987,City Road,8,Transverse Crack,7,Rainy,Low,95,84,123.56,Clear,26,14,Medium,Fill Pothole,Medium,Municipality,11,Not Repaired,2025-10-11
16,SEG-7247,Pune,Maharashtra,13.84522,96.14698,Highway,17,Longitudinal Crack,30,Rainy,Heavy,76,55,121.6,Foggy,13,7,Critical,Immediate Barricade,Urgent,Highways Dept,63,Repaired,2025-06-09
17,SEG-6296,Pune,Maharashtra,9.24398,95.09772,City Road,13,Edge Crack,6,Rainy,Moderate,47,26,53.2,Clear,19,11,High,Resurface Road,High,Municipality,58,Temporary Repair,2025-05-05
18,SEG-5935,Coimbatore,Tamil Nadu,24.64472,71.06252,Highway,18,Transverse Crack,31,Rainy,Moderate,50,73,38.96,Poor,17,1,Critical,Immediate Barricade,Urgent,Municipality,65,Not Repaired,2025-03-27
19,SEG-6686,Ahmedabad,Gujarat,11.8049,73.54418,Village Road,8,Transverse Crack,32,Hot,Low,58,75,111.26,Foggy,21,9,High,Resurface Road,High,Panchayat,61,Not Repaired,2025-11-18
20,SEG-7420,Udaipur,Rajasthan,24.51439,74.72964,City Road,12,Longitudinal Crack,30,Humid,Heavy,89,75,68.03,Clear,13,3,High,Resurface Road,High,Panchayat,37,Repaired,2025-03-01
21,SEG-4360,Mumbai,Maharashtra,23.95956,78.50879,City Road,20,Edge Crack,32,Humid,Heavy,59,81,100.39,Poor,15,0,Critical,Immediate Barricade,Urgent,Highways Dept,17,Not Repaired,2025-12-17
22,SEG-2240,Jaipur,Rajasthan,23.26699,94.91041,Highway,6,Alligator Crack,28,Rainy,Heavy,57,55,147.69,Poor,41,14,High,Resurface Road,High,Panchayat,7,Not Repaired,2025-05-21
23,SEG-8262,Warangal,Telangana,23.516,94.25634,Village Road,5,Edge Crack,8,Rainy,Heavy,73,44,32.64,Poor,43,4,Medium,Fill Pothole,Medium,Municipality,60,Not Repaired,2025-04-05
24,SEG-4455,Coimbatore,Tamil Nadu,13.90527,90.19275,Village Road,0,Edge Crack,36,Dry,Moderate,32,70,144.14,Foggy,9,13,High,Resurface Road,High,Highways Dept,18,Repaired,2025-07-11
25,SEG-9178,Nagpur,Maharashtra,20.46946,69.8467,Highway,12,Longitudinal Crack,12,Humid,Moderate,51,81,119.21,Poor,29,11,High,Resurface Road,High,Panchayat,4,Not Repaired,2025-03-13
26,SEG-3477,Delhi,Delhi,9.09448,85.07191,Village Road,20,Transverse Crack,22,Rainy,Moderate,94,89,107.39,Clear,16,2,High,Resurface Road,High,Highways Dept,39,Repaired,2025-11-01
27,SEG-7039,Pune,Maharashtra,13.13949,81.38636,City Road,1,Alligator Crack,14,Rainy,Heavy,91,63,39.77,Clear,7,6,Medium,Fill Pothole,Medium,Municipality,30,Temporary Repair,2025-02-22
